Місце,Preview_pts,Адреса,Слот,Заявлено,Зараховано,База_очок
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,8,B.Fernandes (MUN),B.Fernandes (MUN),9
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,9,Abraham (AVL),Thiago (BRE),2
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,10,Kostoulas (BHA),Kostoulas (BHA),1
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,11,Haaland (MCI),Haaland (MCI),0
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,Лава1,Rúben (MCI),Rúben (MCI),0
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,Лава2,Thiago (BRE),Thiago (BRE),2
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,Лава3,Bruno G. (NEW),Bruno G. (NEW),2
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,1,Verbruggen (BHA),Verbruggen (BHA),2
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,2,Gabriel (ARS),Gabriel (ARS),6
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,3,O'Reilly (MCI),Digne (AVL),4
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,4,Van Hecke (BHA),Van Hecke (BHA),2
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,5,Lacroix (CRY),Lacroix (CRY),2
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,6,Saka (ARS),Saka (ARS),8
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,7,B.Fernandes (MUN),B.Fernandes (MUN),9
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,8,Cherki (MCI),Cherki (MCI),0
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,9,Haaland (MCI),Haaland (MCI),0
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,10,Welbeck (BHA),Welbeck (BHA),2
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,11,Watkins (AVL),Watkins (AVL),17
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,Лава1,Abraham (AVL),Abraham (AVL),0
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,Лава2,Merino (ARS),Merino (ARS),0
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,Лава3,Digne (AVL),Digne (AVL),4
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,1,Raya (ARS),Raya (ARS),6
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,2,Gvardiol (MCI),Tarkowski (EVE),1
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,3,Gabriel (ARS),Gabriel (ARS),6
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,4,Pedro Porro (TOT),Pedro Porro (TOT),0
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,5,Saliba (ARS),Saliba (ARS),8
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,6,M.Salah (LIV),M.Salah (LIV),1
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,7,Palmer (CHE),J.Gomes (WOL),2
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,8,B.Fernandes (MUN),B.Fernandes (MUN),9
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,9,Haaland (MCI),Wood (NFO),2
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,10,Watkins (AVL),Watkins (AVL),17
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,11,Isak (LIV),Isak (LIV),0
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,Лава1,Tarkowski (EVE),Tarkowski (EVE),1
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,Лава2,J.Gomes (WOL),J.Gomes (WOL),2
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,Лава3,Wood (NFO),Wood (NFO),2
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,1,Raya (ARS),Raya (ARS),6
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,2,Gabriel (ARS),Gabriel (ARS),6
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,3,Saliba (ARS),Saliba (ARS),8
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,4,Digne (AVL),Digne (AVL),4
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,5,Konsa (AVL),Konsa (AVL),1
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,6,Rogers (AVL),Rogers (AVL),12
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,7,Kluivert (BOU),Kluivert (BOU),0
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,8,Rayan (BOU),Rayan (BOU),0
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,9,Awoniyi (NFO),Awoniyi (NFO),1
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,10,Lucca (NFO),Isidor (SUN),6
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,11,Richarlison (TOT),Brobbey (SUN),8
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,Лава1,Isidor (SUN),Isidor (SUN),6
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,Лава2,Brobbey (SUN),Brobbey (SUN),8
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,Лава3,De Cuyper (BHA),De Cuyper (BHA),2
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,1,Raya (ARS),Raya (ARS),6
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,2,Lewis-Skelly (ARS),Lewis-Skelly (ARS),1
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,3,Matheus N. (MCI),Mosquera (ARS),6
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,4,Martinez (MUN),Martinez (MUN),1
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,5,Dalot (MUN),Dalot (MUN),1
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,6,Rogers (AVL),Rogers (AVL),12
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,7,B.Fernandes (MUN),B.Fernandes (MUN),9
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,8,Mitoma (BHA),McGinn (AVL),6
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,9,Thiago (BRE),Thiago (BRE),2
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,10,Calvert-Lewin (LEE),Calvert-Lewin (LEE),8
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,11,Isak (LIV),Isak (LIV),0
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,Лава1,Evanilson (BOU),Evanilson (BOU),0
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,Лава2,McGinn (AVL),McGinn (AVL),6
15,52,0x2d9e2e429fecf088618bd4e95100c9c39daf9514cec096ab4a1e1b9c93abc47e,Лава3,Mosquera (ARS),Mosquera (ARS),6
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,1,Raya (ARS),Raya (ARS),6
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,2,Gabriel (ARS),Gabriel (ARS),6
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,3,Saliba (ARS),Saliba (ARS),8
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,4,Mazraoui (MUN),Lewis-Potter (BRE),1
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,5,Maguire (MUN),Maguire (MUN),1
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,6,Doku (MCI),Schade (BRE),1
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,7,Semenyo (MCI),Semenyo (MCI),0
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,8,B.Fernandes (MUN),B.Fernandes (MUN),9
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,9,Haaland (MCI),Watkins (AVL),17
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,10,Thiago (BRE),Thiago (BRE),2
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,11,João Pedro (CHE),João Pedro (CHE),0
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,Лава1,Lewis-Potter (BRE),Lewis-Potter (BRE),1
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,Лава2,Schade (BRE),Schade (BRE),1
16,51,0x1f23a0e229b72294b63727d543fa9331c59d264227186504c849ffd2a512d3cb,Лава3,Watkins (AVL),Watkins (AVL),17
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,1,Raya (ARS),Raya (ARS),6
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,2,Saliba (ARS),Saliba (ARS),8
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,3,Gvardiol (MCI),Gvardiol (MCI),0
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,4,Trippier (NEW),Trippier (NEW),2
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,5,O'Reilly (MCI),O'Reilly (MCI),0
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,6,M.Salah (LIV),M.Salah (LIV),1
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,7,Saka (ARS),Saka (ARS),8
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,8,Palmer (CHE),B.Fernandes (MUN),9
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,9,Haaland (MCI),Haaland (MCI),0
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,10,Isak (LIV),Isak (LIV),0
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,11,Watkins (AVL),Watkins (AVL),17
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,Лава1,Gordon (NEW),Gordon (NEW),0
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,Лава2,Pickford (EVE),Pickford (EVE),1
17,51,0xc40d711f94276d4b11a5ff701b249448df5252e969008653980e34c0408a1589,Лава3,B.Fernandes (MUN),B.Fernandes (MUN),9
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,1,Leno (FUL),Leno (FUL),2
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,2,O'Reilly (MCI),Muñoz (CRY),4
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,3,Khusanov (MCI),Khusanov (MCI),0
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,4,Mavropanos (WHU),Mavropanos (WHU),1
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,5,Pedro Porro (TOT),Pedro Porro (TOT),0
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,6,Gibbs-White (NFO),Gibbs-White (NFO),7
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,7,Cherki (MCI),Groß (BHA),3
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,8,Okafor (LEE),Okafor (LEE),0
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,9,Bowen (WHU),Bowen (WHU),2
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,10,Watkins (AVL),Watkins (AVL),17
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,11,Osula (NEW),Osula (NEW),15
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,Лава1,Groß (BHA),Groß (BHA),3
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,Лава2,Muñoz (CRY),Muñoz (CRY),4
18,51,0xc799a551b6832427ff050c655a305af73abc9323e5cce4508f712ac93c95f1b6,Лава3,Mateta (CRY),Mateta (CRY),1
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,1,Raya (ARS),Raya (ARS),6
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,2,Gabriel (ARS),Gabriel (ARS),6
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,3,Gvardiol (MCI),H.Bueno (WOL),1
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,4,Dunk (BHA),Dunk (BHA),2
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,5,Tarkowski (EVE),Tarkowski (EVE),1
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,6,Saka (ARS),Saka (ARS),8
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,7,B.Fernandes (MUN),B.Fernandes (MUN),9
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,8,McNeil (EVE),McNeil (EVE),1
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,9,Haaland (MCI),Haaland (MCI),0
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,10,Watkins (AVL),Watkins (AVL),17
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,11,Isak (LIV),Isak (LIV),0
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,Лава1,João Pedro (CHE),João Pedro (CHE),0
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,Лава2,H.Bueno (WOL),H.Bueno (WOL),1
19,51,0xa068815251f77494382e9a422b15563c2f1e917a1abd12648c6b1c9f7b080b9d,Лава3,Gordon (NEW),Gordon (NEW),0
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,1,A.Becker (LIV),A.Becker (LIV),0
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,2,Pedro Porro (TOT),Pedro Porro (TOT),0
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,3,Saliba (ARS),Saliba (ARS),8
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,4,Virgil (LIV),Virgil (LIV),12
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,5,Udogie (TOT),Udogie (TOT),0
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,6,Palmer (CHE),Rice (ARS),3
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,7,Rodrigo (MCI),M.Salah (LIV),1
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,8,B.Fernandes (MUN),B.Fernandes (MUN),9
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,9,Watkins (AVL),Watkins (AVL),17
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,10,Haaland (MCI),Haaland (MCI),0
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,11,Mateta (CRY),Mateta (CRY),1
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,Лава1,Rice (ARS),Rice (ARS),3
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,Лава2,M.Salah (LIV),M.Salah (LIV),1
20,51,0x7ac1b89415607050d262b1fc8d0585674cb122db037c7d3ae752962763dd3691,Лава3,Van de Ven (TOT),Van de Ven (TOT),0
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,1,Raya (ARS),Raya (ARS),6
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,2,Gabriel (ARS),Gabriel (ARS),6
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,3,Calafiori (ARS),Calafiori (ARS),6
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,4,O'Reilly (MCI),Muñoz (CRY),4
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,5,James (CHE),James (CHE),0
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,6,O'Riley (BHA),O'Riley (BHA),0
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,7,B.Fernandes (MUN),B.Fernandes (MUN),9
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,8,Doku (MCI),Doku (MCI),0
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,9,Haaland (MCI),Bowen (WHU),2
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,10,João Pedro (CHE),João Pedro (CHE),0
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,11,Watkins (AVL),Watkins (AVL),17
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,Лава1,Muñoz (CRY),Muñoz (CRY),4
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,Лава2,Palmer (CHE),Palmer (CHE),0
21,50,0xc934f20787c282067450cb7f02d132aff904c7004dacce937fa257c0c818489e,Лава3,Bowen (WHU),Bowen (WHU),2
